Date,Adj Close,Close,High,Low,Open,Volume
2/8/2018,181.8052368,197.8557129,201.0507202,194.5197449,201.0507202,8035
2/9/2018,182.8845825,199.0303497,206.5010376,192.6403351,192.6403351,5027
2/12/2018,187.1156311,203.6349335,208.0515594,198.4195404,208.0515594,6034
2/14/2018,176.0199432,191.5596619,197.3388824,188.9754639,197.3388824,25291
2/15/2018,174.3793335,189.7742157,195.4594574,188.9284821,192.6403351,10669
2/16/2018,167.2124786,181.9746399,200.6278534,178.544693,197.3388824,8182
2/19/2018,169.37117,184.3239136,193.5330505,180.9879456,189.2573853,4254
2/20/2018,166.7375488,181.4577942,186.4852448,180.0012512,181.7866974,2719
2/21/2018,164.0607605,178.544693,185.6394958,176.6652832,185.6394958,5301
2/22/2018,165.3128204,179.9072723,182.7733917,178.544693,182.256546,7240
2/23/2018,166.3058167,180.9879456,183.6191254,177.6989594,183.2432404,5213
2/26/2018,168.3349915,183.1962585,186.0623627,180.8000031,184.6058197,8770
2/27/2018,167.2988129,182.0686035,185.4985504,180.8939667,182.5854492,8609
2/28/2018,167.2988129,182.0686035,184.1359711,178.920578,184.1359711,7378
3/1/2018,166.5648651,181.2698517,184.1829529,180.5180817,181.4108124,2592
3/5/2018,163.5858612,178.0278625,183.2432404,175.8665314,183.2432404,2513
3/6/2018,157.0666046,170.9330597,181.3638306,167.2681885,179.4844055,6133
3/7/2018,156.2462921,170.040329,176.0544739,167.2681885,169.1476135,2887
3/8/2018,153.2241364,166.751358,171.0270233,161.8648682,171.0270233,6038
3/9/2018,153.6127014,167.1742249,173.7991638,165.3887787,173.2823334,3650
3/12/2018,153.7854004,167.3621674,169.7584229,167.0332642,169.7584229,1698
3/13/2018,159.5274963,173.6112213,174.7858582,169.1006165,171.8727722,4825
3/14/2018,156.9802551,170.8390808,173.6112213,169.6174622,169.6174622,1815
3/15/2018,161.858902,176.1484375,176.33638,169.664444,170.6511383,5295
3/16/2018,160.3046722,174.4569702,175.1147614,171.0270233,172.4365845,2598
3/19/2018,155.2101135,168.912674,172.8594666,164.4490662,171.2149658,3173
3/20/2018,152.9651031,166.4694366,172.9064484,165.7646484,169.0536346,1200
3/21/2018,156.764389,170.6041565,171.9667358,168.207901,169.4765015,1399
3/22/2018,155.6850433,169.4295197,174.2220306,165.5767212,170.1812897,2843
3/23/2018,148.6476746,161.7708893,167.2681885,155.0519714,164.4490662,10572
3/26/2018,147.2229462,160.2203674,174.5979156,158.1530151,162.8515625,4795
3/27/2018,152.7060547,166.1875305,170.040329,164.4490662,164.4490662,4443
3/28/2018,148.9067383,162.0528107,170.0873108,159.7505188,162.8515625,7407
4/2/2018,161.858902,176.1484375,186.0623627,164.3550873,164.3550873,10861
4/3/2018,161.0386047,175.255722,182.6794128,170.4631958,171.0740051,1866
4/4/2018,160.6068726,174.7858582,182.1625824,174.7858582,181.6927185,3807
4/5/2018,170.5800171,185.6394958,209.743042,172.3896027,175.1617432,26370
4/6/2018,170.0619354,185.0756683,187.8948059,180.8000031,187.8948059,3768
4/9/2018,174.6815491,190.1031189,201.9434509,181.0349274,181.0349274,6697
4/10/2018,173.9475861,189.3043671,199.2182922,186.0153809,195.4594574,4190
4/11/2018,175.8472443,191.3717194,202.9771271,186.5322266,189.9621582,7875
4/12/2018,175.5018616,190.9958496,192.969223,187.9417877,189.9151764,2273
4/13/2018,173.6022034,188.9284821,197.3388824,187.9887695,187.9887695,1706
4/16/2018,174.5520325,189.9621582,193.0162201,187.9417877,188.0357513,1060
4/17/2018,176.1062927,191.6536407,196.3991699,182.3975067,183.2432404,1736
4/18/2018,173.5590363,188.8815002,193.5800476,188.4116364,189.9621582,1769
4/19/2018,173.386322,188.6935577,192.5933533,187.9417877,189.3043671,2525
4/20/2018,172.7387238,187.9887695,195.4594574,187.0020752,191.9355469,6555
4/23/2018,171.832077,187.0020752,189.8211975,182.7733917,186.1563416,1269
4/24/2018,172.3933411,187.6128845,190.7139282,186.2973022,186.2973022,977
4/25/2018,172.6955414,187.9417877,187.9887695,183.7131042,183.7600861,1619
4/26/2018,165.7013702,180.3301392,187.7538452,179.5313873,183.384201,3587
4/27/2018,166.1762848,180.8469849,184.1829529,179.5783844,183.2432404,973
4/30/2018,163.5858612,178.0278625,185.592514,176.712265,181.3638306,5879
5/2/2018,163.7153625,178.168808,186.0623627,175.255722,185.1226654,410
5/3/2018,162.9382477,177.3230743,181.4577942,174.0810852,179.4844055,1270
5/4/2018,164.1902924,178.6856537,182.256546,175.7255707,177.6049957,2277
5/7/2018,170.9685822,186.0623627,188.6935577,176.6652832,180.424118,6874
5/8/2018,172.9977875,188.2706909,194.0498962,185.1226654,185.1226654,7053
